,Protein_Names,Sample_Name,Hits
0,TBA1A_MOUSE,1135-MRL_12,13013100.0
1,TBA4A_MOUSE,1135-MRL_12,6616000.0
2,KCC2A_MOUSE,1135-MRL_12,7995310.0
3,K1C17_MOUSE,1135-MRL_12,83662500.0
4,TBB3_MOUSE,1135-MRL_12,4078410.0
5,TBB4A_MOUSE,1135-MRL_12,3763290.0
6,ADT1_MOUSE,1135-MRL_12,2572750.0
7,TMPSD_MOUSE,1135-MRL_12,50098000.0
8,TBB2A_MOUSE,1135-MRL_12,2743050.0
9,E9Q0F0_MOUSE,1135-MRL_12,38194500.0
10,H2A1B_MOUSE;H2A1C_MOUSE;H2A1D_MOUSE;H2A1E_MOUSE;H2A1F_MOUSE;H2A1G_MOUSE;H2A1H_MOUSE;H2A1I_MOUSE;H2A1K_MOUSE;H2A1N_MOUSE;H2A1O_MOUSE;H2A1P_MOUSE;H2A3_MOUSE;H2AJ_MOUSE,1135-MRL_12,7459160.0
11,ACTB_MOUSE,1135-MRL_12,4513780.0
12,E9QPD7_MOUSE;G5E8R3_MOUSE,1135-MRL_12,90450500.0
13,H4_MOUSE,1135-MRL_12,4955850.0
14,K1C10-2_MOUSE;K1C10-3_MOUSE;K1C10_MOUSE,1135-MRL_12,42767600.0
15,G3P_MOUSE,1135-MRL_12,2229020.0
16,K2C71_MOUSE,1135-MRL_12,60543000.0
17,AT1A3_MOUSE,1135-MRL_12,1161190.0
18,STXB1_MOUSE,1135-MRL_12,404954.0
19,ATPA_MOUSE,1135-MRL_12,1261880.0
20,TBB4B_MOUSE,1135-MRL_12,1835280.0
21,K2C5_MOUSE,1135-MRL_12,40218700.0
22,H2B1C_MOUSE;H2B1H_MOUSE,1135-MRL_12,3705500.0
23,DYN1-3_MOUSE,1135-MRL_12,289493.0
24,SPTN1_MOUSE,1135-MRL_12,4041230.0
25,PLEC-6_MOUSE;PLEC-7_MOUSE;PLEC-8_MOUSE,1135-MRL_12,21578900.0
26,NSF_MOUSE,1135-MRL_12,561263.0
27,GNAO_MOUSE,1135-MRL_12,498196.0
28,H31_MOUSE;H32_MOUSE,1135-MRL_12,3568130.0
29,K22O_MOUSE,1135-MRL_12,21798200.0
30,MPCP_MOUSE,1135-MRL_12,173785.0
31,KCC2B_MOUSE,1135-MRL_12,2282550.0
32,NFL_MOUSE,1135-MRL_12,39435300.0
33,NFH_MOUSE,1135-MRL_12,31793600.0
34,EF1A1_MOUSE,1135-MRL_12,1375900.0
35,TBB5_MOUSE,1135-MRL_12,1445530.0
36,MBP-4_MOUSE,1135-MRL_12,3086740.0
37,CLH1_MOUSE,1135-MRL_12,360190.0
38,HSP7C_MOUSE,1135-MRL_12,2443540.0
39,AP2M1_MOUSE,1135-MRL_12,373592.0
40,AINX_MOUSE,1135-MRL_12,22261500.0
41,MCCA_MOUSE,1135-MRL_12,39380700.0
42,RS27_MOUSE,1135-MRL_12,428860.0
43,K2C1_MOUSE,1135-MRL_12,25863900.0
44,CEND_MOUSE,1135-MRL_12,99184.2
45,AT1B1_MOUSE,1135-MRL_12,222409.0
46,PCCA_MOUSE,1135-MRL_12,51552600.0
47,K22E_MOUSE,1135-MRL_12,15374300.0
48,SPTB2_MOUSE,1135-MRL_12,2381370.0
49,AP2B1-2_MOUSE;AP2B1_MOUSE,1135-MRL_12,77060.6
50,PYC_MOUSE,1135-MRL_12,22614000.0
51,IDH3A_MOUSE,1135-MRL_12,30784.3
52,CH60_MOUSE,1135-MRL_12,225088.0
53,ODP2_MOUSE,1135-MRL_12,322500.0
54,MIC60-2_MOUSE,1135-MRL_12,7781220.0
55,MAP1A-2_MOUSE,1135-MRL_12,2700640.0
